antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'butylene glycol', 'sodium hyaluronate'})",frozenset({'phenoxyethanol'}),0.21589512494879148,0.5641130684145842,0.16591560835723065,0.7685009487666035,1.362317222904342,1.0,0.04412634696661784,1.8828886307009358,0.3391849529780564,0.2701801200800534,0.4689011428000743,0.5313092979127135
"frozenset({'xanthan gum', 'citric acid'})",frozenset({'phenoxyethanol'}),0.10077836952068825,0.5641130684145842,0.07742728390004097,0.7682926829268293,1.3619480312450183,1.0,0.020576888639906712,1.8811962310528474,0.2955418158151643,0.13179916317991633,0.46842334494773524,0.4527737924438068
"frozenset({'butylene glycol', 'silica'})",frozenset({'phenoxyethanol'}),0.08480131093814011,0.5641130684145842,0.0651372388365424,0.7681159420289855,1.3616347236693926,1.0,0.01729971111764894,1.8797623924621054,0.29019780071282575,0.11157894736842106,0.4680178707638661,0.44179217580752106
"frozenset({'caprylyl glycol', 'water', 'glycerin'})",frozenset({'phenoxyethanol'}),0.13068414584186808,0.5641130684145842,0.10036870135190495,0.768025078369906,1.361473650182237,1.0,0.026648066847909727,1.879026096969563,0.30541460693608263,0.1688490696071675,0.46780941381667335,0.47297404971509094
"frozenset({'silica', 'water'})",frozenset({'phenoxyethanol'}),0.07414993854977468,0.5641130684145842,0.05694387546087669,0.7679558011049724,1.3613508427721406,1.0,0.015114926102810428,1.8784651099276255,0.28669383077608707,0.09795630725863283,0.4676504797906369,0.4344499412206053
"frozenset({'butylene glycol', 'linalool', 'limonene'})",frozenset({'phenoxyethanol'}),0.06882425235559197,0.5641130684145842,0.05284719377304384,0.7678571428571429,1.3611759518622264,1.0,0.014022533595391178,1.8776667822140993,0.28495278241029687,0.09110169491525423,0.46742414070891525,0.43076953003423596
"frozenset({'xanthan gum', 'butylene glycol', 'glycerin', 'disodium edta'})",frozenset({'phenoxyethanol'}),0.07742728390004097,0.5641130684145842,0.0594018844735764,0.7671957671957671,1.3600035350216901,1.0,0.015724141773717157,1.872332501582808,0.28692350094934765,0.10204081632653061,0.4659068305684845,0.4362485735034754
"frozenset({'glycerin', 'sodium hyaluronate', 'tocopherol'})",frozenset({'phenoxyethanol'}),0.07005325686194183,0.5641130684145842,0.05366653011061041,0.7660818713450293,1.3580289382376298,1.0,0.014148572429785372,1.8634166325276527,0.2834986716884688,0.09244883556810161,0.4633513608582861,0.43060811069067007
"frozenset({'dimethicone', 'butylene glycol', 'water'})",frozenset({'phenoxyethanol'}),0.11020073740270381,0.5641130684145842,0.08439164276935682,0.7657992565055762,1.3575279485331238,1.0,0.022225966651567737,1.8611680094678866,0.29598464124157414,0.14305555555555557,0.46270299354333794,0.4576999187393531
frozenset({'peg-100 stearate'}),frozenset({'phenoxyethanol'}),0.10282671036460467,0.5641130684145842,0.07865628840639083,0.7649402390438248,1.3560051732069545,1.0,0.02065039730763596,1.8543664377616849,0.2926298515981735,0.13370473537604458,0.4607322589341883,0.45218689512104093
"frozenset({'butylene glycol', 'glycerin', 'limonene'})",frozenset({'phenoxyethanol'}),0.0766079475624744,0.5641130684145842,0.058582548136009834,0.7647058823529412,1.3555897304455553,1.0,0.015367003771598838,1.8525194592380176,0.28407617227493004,0.10063335679099226,0.46019460415745256,0.4342774146695716
frozenset({'sorbitol'}),frozenset({'phenoxyethanol'}),0.06964358869315854,0.5641130684145842,0.05325686194182712,0.7647058823529412,1.3555897304455553,1.0,0.013970003428726216,1.8525194592380176,0.2819496663618197,0.09174311926605504,0.46019460415745256,0.4295570079883806
"frozenset({'xanthan gum', 'sodium hyaluronate', 'water'})",frozenset({'glycerin'}),0.05694387546087669,0.7165096272019664,0.055305202785743544,0.9712230215827338,1.3554919357824202,1.0,0.014504367807835587,9.851290454731652,0.2780963413456897,0.07701083856246435,0.8984904561899612,0.5242049927810752
"frozenset({'caprylyl glycol', 'citric acid', 'glycerin'})",frozenset({'phenoxyethanol'}),0.08521097910692339,0.5641130684145842,0.0651372388365424,0.764423076923077,1.3550884028825205,1.0,0.017068611949924824,1.8502955463217656,0.2864493996569469,0.11150070126227209,0.4595457995951418,0.4399457432545668
"frozenset({'dimethicone', 'sodium hyaluronate', 'water'})",frozenset({'phenoxyethanol'}),0.07128226136829169,0.5641130684145842,0.054485866448176976,0.7643678160919539,1.3549904423242263,1.0,0.014274611264179574,1.8498616120942029,0.2820958439327254,0.09379407616361073,0.4594190216921612,0.4304772994766233
"frozenset({'dimethicone', 'sodium hyaluronate', 'phenoxyethanol', 'water'})",frozenset({'glycerin'}),0.054485866448176976,0.7165096272019664,0.05284719377304384,0.9699248120300753,1.3536800835708482,1.0,0.01380754591648442,9.426054895534651,0.27632904759985494,0.07358813462635481,0.8939110782737194,0.5218406221385368
frozenset({'caprylyl glycol'}),frozenset({'phenoxyethanol'}),0.2806226956165506,0.5641130684145842,0.21425645227365833,0.7635036496350364,1.3534585394038663,1.0,0.05595352238263407,1.843102148987714,0.36302521374408186,0.3398310591293047,0.4574364743976727,0.5716574166838944
"frozenset({'butylene glycol', 'ethylhexylglycerin', 'water'})",frozenset({'phenoxyethanol'}),0.09176566980745596,0.5641130684145842,0.07005325686194183,0.7633928571428572,1.353262138188609,1.0,0.01828704329173829,1.8422391070779842,0.2874201742515966,0.1195804195804196,0.4571822972610098,0.44378793183940246
"frozenset({'butylene glycol', 'glycerin', 'citric acid'})",frozenset({'phenoxyethanol'}),0.12617779598525194,0.5641130684145842,0.0962720196640721,0.762987012987013,1.3525427005819162,1.0,0.02509347600504222,1.8390845880590148,0.29828929387238023,0.16206896551724137,0.45625122058392736,0.46682393496118985
"frozenset({'butylene glycol', 'linalool'})",frozenset({'phenoxyethanol'}),0.09504301515772225,0.5641130684145842,0.07251126587464155,0.7629310344827587,1.3524434678085795,1.0,0.01889625896264501,1.8386503295966634,0.28796679224436245,0.12360335195530725,0.4561227962146747,0.445735669746826
"frozenset({'caprylyl glycol', 'citric acid'})",frozenset({'phenoxyethanol'}),0.09832036050798854,0.5641130684145842,0.07496927488734126,0.7625,1.3516793754538852,1.0,0.01950547463355174,1.8353133961491188,0.2885499139735292,0.12761506276150628,0.4551339285714285,0.4476988017429194
"frozenset({'glycerin', 'propanediol', 'disodium edta'})",frozenset({'phenoxyethanol'}),0.06718557968045882,0.5641130684145842,0.05120852109791069,0.7621951219512196,1.3511389198859312,1.0,0.013308257591154525,1.8329604302566211,0.27860166886253845,0.08827683615819211,0.4544344856042548,0.42648608675629246
"frozenset({'sodium hydroxide', 'glycerin', 'sodium hyaluronate'})",frozenset({'phenoxyethanol'}),0.07578861122490782,0.5641130684145842,0.05776321179844326,0.7621621621621621,1.3510804922569628,1.0,0.015009865769480511,1.8327064168932254,0.281160404406217,0.09922589725545389,0.4543588701483438,0.43227933816169106
"frozenset({'xanthan gum', 'citric acid', 'glycerin'})",frozenset({'phenoxyethanol'}),0.09463334698893897,0.5641130684145842,0.07210159770585825,0.7619047619047619,1.3506242002974027,1.0,0.01871768996158584,1.830725112658746,0.28673642533936644,0.12290502793296088,0.4537683494450411,0.44485942525158206
"frozenset({'tocopherol', 'potassium sorbate'})",frozenset({'glycerin'}),0.06308889799262597,0.7165096272019664,0.06104055714870955,0.9675324675324676,1.3503411968249017,1.0,0.015836754367430227,8.731503482179447,0.27691680141329905,0.08494868871151653,0.885472186772765,0.5263620027770971
"frozenset({'sodium hydroxide', 'xanthan gum', 'phenoxyethanol'})",frozenset({'glycerin'}),0.06308889799262597,0.7165096272019664,0.06104055714870955,0.9675324675324676,1.3503411968249017,1.0,0.015836754367430227,8.731503482179447,0.27691680141329905,0.08494868871151653,0.885472186772765,0.5263620027770971
"frozenset({'butylene glycol', 'sodium hyaluronate', 'water', 'disodium edta'})",frozenset({'phenoxyethanol'}),0.07046292503072511,0.5641130684145842,0.05366653011061041,0.7616279069767442,1.350133421154853,1.0,0.013917473262061254,1.8285988349436957,0.2789909803222323,0.0923836389280677,0.45313319636300053,0.42838112850652754
"frozenset({'glycerin', 'sodium hyaluronate', 'water', 'disodium edta'})",frozenset({'phenoxyethanol'}),0.07496927488734126,0.5641130684145842,0.05694387546087669,0.7595628415300546,1.3464726914850134,1.0,0.014652727767362178,1.8128933745484335,0.27817320988204997,0.09781843771991554,0.44839557911171357,0.4302534614331464
frozenset({'camellia sinensis leaf extract'}),frozenset({'phenoxyethanol'}),0.06636624334289226,0.5641130684145842,0.050389184760344125,0.7592592592592593,1.3459345329352592,1.0,0.012951119589036199,1.8106072542778813,0.2752919016684682,0.08686440677966102,0.4476991088833195,0.42429193899782136
"frozenset({'sodium hydroxide', 'carbomer'})",frozenset({'phenoxyethanol'}),0.06636624334289226,0.5641130684145842,0.050389184760344125,0.7592592592592593,1.3459345329352592,1.0,0.012951119589036199,1.8106072542778813,0.2752919016684682,0.08686440677966102,0.4476991088833195,0.42429193899782136
